date,service_id,exception_type
20251005,NdM,1
20251012,NdM,1
20251019,NdM,1
20251026,NdM,1
20251001,PcM,1
20251002,PcM,1
20251006,PcM,1
20251007,PcM,1
20251008,PcM,1
20251009,PcM,1
20251013,PcM,1
20251014,PcM,1
20251015,PcM,1
20251016,PcM,1
20251020,PcM,1
20251021,PcM,1
20251022,PcM,1
20251023,PcM,1
20251027,PcM,1
20251028,PcM,1
20251029,PcM,1
20251030,PcM,1
20251003,PtM,1
20251010,PtM,1
20251017,PtM,1
20251024,PtM,1
20251031,PtM,1
20251004,SbM,1
20251011,SbM,1
20251018,SbM,1
20251025,SbM,1
