trip_id,stop_sequence,stop_id,arrival_time,departure_time,pickup_type,drop_off_type
M1:NdM:KAB,0,6059M:P1,00:00:00,00:00:00,0,0
M1:NdM:KAB,1,6055M:P1,00:02:00,00:02:00,0,0
M1:NdM:KAB,2,6052M:P1,00:04:00,00:04:00,0,0
M1:NdM:KAB,3,6006M:P1,00:06:00,00:06:00,0,0
M1:NdM:KAB,4,6005M:P1,00:07:00,00:07:00,0,0
M1:NdM:KAB,5,6003M:P1,00:09:00,00:09:00,0,0
M1:NdM:KAB,6,7019M:P1,00:12:00,00:12:00,0,0
M1:NdM:KAB,7,7099M:P1,00:15:00,00:15:00,0,0
M1:NdM:KAB,8,7014M:P1,00:17:00,00:17:00,0,0
M1:NdM:KAB,9,7013M:P1,00:18:00,00:18:00,0,0
M1:NdM:KAB,10,7006M:P1,00:21:00,00:21:00,0,0
M1:NdM:KAB,11,3228M:P1,00:22:00,00:22:00,0,0
M1:NdM:KAB,12,3230M:P1,00:24:00,00:24:00,0,0
M1:NdM:KAB,13,3114M:P1,00:26:00,00:26:00,0,0
M1:NdM:KAB,14,3009M:P1,00:27:00,00:27:00,0,0
M1:NdM:KAB,15,3279M:P1,00:29:00,00:29:00,0,0
M1:NdM:KAB,16,3127M:P1,00:31:00,00:31:00,0,0
M1:NdM:KAB,17,3132M:P1,00:33:00,00:33:00,0,0
M1:NdM:KAB,18,3280M:P1,00:35:00,00:35:00,0,0
M1:NdM:KAB,19,3281M:P1,00:37:00,00:37:00,0,0
M1:NdM:KAB,20,3282M:P1,00:39:00,00:39:00,0,0
M1:NdM:MLO,0,3282M:P1,00:00:00,00:00:00,0,0
M1:NdM:MLO,1,3281M:P1,00:02:00,00:02:00,0,0
M1:NdM:MLO,2,3280M:P1,00:04:00,00:04:00,0,0
M1:NdM:MLO,3,3132M:P1,00:06:00,00:06:00,0,0
M1:NdM:MLO,4,3127M:P1,00:08:00,00:08:00,0,0
M1:NdM:MLO,5,3279M:P1,00:10:00,00:10:00,0,0
M1:NdM:MLO,6,3009M:P1,00:12:00,00:12:00,0,0
M1:NdM:MLO,7,3114M:P1,00:13:00,00:13:00,0,0
M1:NdM:MLO,8,3230M:P1,00:15:00,00:15:00,0,0
M1:NdM:MLO,9,3228M:P1,00:17:00,00:17:00,0,0
M1:NdM:MLO,10,7006M:P1,00:18:00,00:18:00,0,0
M1:NdM:MLO,11,7013M:P1,00:21:00,00:21:00,0,0
M1:NdM:MLO,12,7014M:P1,00:22:00,00:22:00,0,0
M1:NdM:MLO,13,7099M:P1,00:24:00,00:24:00,0,0
M1:NdM:MLO,14,7019M:P1,00:27:00,00:27:00,0,0
M1:NdM:MLO,15,6003M:P1,00:30:00,00:30:00,0,0
M1:NdM:MLO,16,6005M:P1,00:32:00,00:32:00,0,0
M1:NdM:MLO,17,6006M:P1,00:33:00,00:33:00,0,0
M1:NdM:MLO,18,6052M:P1,00:35:00,00:35:00,0,0
M1:NdM:MLO,19,6055M:P1,00:37:00,00:37:00,0,0
M1:NdM:MLO,20,6059M:P1,00:39:00,00:39:00,0,0
M1:PcM:KAB,0,6059M:P1,00:00:00,00:00:00,0,0
M1:PcM:KAB,1,6055M:P1,00:02:00,00:02:00,0,0
M1:PcM:KAB,2,6052M:P1,00:04:00,00:04:00,0,0
M1:PcM:KAB,3,6006M:P1,00:06:00,00:06:00,0,0
M1:PcM:KAB,4,6005M:P1,00:07:00,00:07:00,0,0
M1:PcM:KAB,5,6003M:P1,00:09:00,00:09:00,0,0
M1:PcM:KAB,6,7019M:P1,00:12:00,00:12:00,0,0
M1:PcM:KAB,7,7099M:P1,00:15:00,00:15:00,0,0
M1:PcM:KAB,8,7014M:P1,00:17:00,00:17:00,0,0
M1:PcM:KAB,9,7013M:P1,00:18:00,00:18:00,0,0
M1:PcM:KAB,10,7006M:P1,00:21:00,00:21:00,0,0
M1:PcM:KAB,11,3228M:P1,00:22:00,00:22:00,0,0
M1:PcM:KAB,12,3230M:P1,00:24:00,00:24:00,0,0
M1:PcM:KAB,13,3114M:P1,00:26:00,00:26:00,0,0
M1:PcM:KAB,14,3009M:P1,00:27:00,00:27:00,0,0
