stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_name_stem,town_name,street_name
1003M:P2,Dworzec Wileński,C15,,52.25415054468,21.03540122509,0,1003M,1,,,
1085M:P2,Bródno,C21,,52.29356,21.02907,0,1085M,1,,,
1137M:P2,Targówek Mieszkaniowy,C17,,52.26934493034,21.05137779772,0,1137M,1,,,
1140M:P2,Trocka,C18,,52.27526580809,21.0552978462,0,1140M,1,,,
1146M:P2,Kondratowicza,C20,,52.29208,21.05019,0,1146M,1,,,
1231M:P2,Stadion Narodowy,C14,,52.24696482859,21.0429006815,0,1231M,1,,,
1411M:P2,Zacisze,C19,,52.28426,21.06198,0,1411M,1,,,
1526M:P2,Szwedzka,C16,,52.26345773527,21.04530929983,0,1526M,1,,,
3009M:P1,Wilanowska,A7,,52.18186931472,21.02297723293,0,3009M,1,,,
3114M:P1,Wierzbno,A8,,52.18990746822,21.0165989399,0,3114M,1,,,
3127M:P1,Ursynów,A5,,52.16182680621,21.02769255638,0,3127M,1,,,
3132M:P1,Stokłosy,A4,,52.15596566052,21.03486478329,0,3132M,1,,,
3228M:P1,Pole Mokotowskie,A10,,52.20848438047,21.00780665874,0,3228M,1,,,
3230M:P1,Racławicka,A9,,52.19890755448,21.01221084595,0,3230M,1,,,
3279M:P1,Służew,A6,,52.1725302081,21.02629780769,0,3279M,1,,,
3280M:P1,Imielin,A3,,52.14913600804,21.04636609554,0,3280M,1,,,
3281M:P1,Natolin,A2,,52.14100817936,21.05651021004,0,3281M,1,,,
3282M:P1,Kabaty,A1,,52.13198320212,21.06517374516,0,3282M,1,,,
5005M:P2,Płocka,C8,,52.23290034882,20.9661784746,0,5005M,1,,,
5028M:P2,Młynów,C7,,52.23763991374,20.9604745212,0,5028M,1,,,
5030M:P2,Księcia Janusza,C6,,52.23909632355,20.94410954833,0,5030M,1,,,
5032M:P2,Ulrychów,C5,,52.24045,20.93001,0,5032M,1,,,
5034M:P2,Bemowo,C4,,52.23929,20.91502,0,5034M,1,,,
5040M:P2,Rondo Daszyńskiego,C9,,52.23001401486,20.98274409771,0,5040M,1,,,
6003M:P1,Plac Wilsona,A18,,52.26933918224,20.98428368568,0,6003M,1,,,
6005M:P1,Marymont,A19,,52.27166331366,20.9719991684,0,6005M,1,,,
6006M:P1,Słodowiec,A20,,52.2767871334,20.96020817757,0,6006M,1,,,
6052M:P1,Stare Bielany,A21,,52.28179221493,20.94935595989,0,6052M,1,,,
6055M:P1,Wawrzyszew,A22,,52.28631763477,20.93957662582,0,6055M,1,,,
6059M:P1,Młociny,A23,,52.29079009374,20.92981874943,0,6059M,1,,,
7006M:P1,Politechnika,A11,,52.21842066203,21.0153222084,0,7006M,1,,,
7013M:P1,Centrum,A13,,52.23105884523,21.01018846035,0,7013M,1,,,
7014M:P1,Świętokrzyska,A14,M1,52.23583583815,21.00745797157,0,7014M,1,,,
7014M:P2,Świętokrzyska,C11,M2,52.23533647918,21.00908875465,0,7014M,1,,,
7019M:P1,Dworzec Gdański,A17,,52.25783162381,20.99438488483,0,7019M,1,,,
7043M:P2,Nowy Świat-Uniwersytet,C12,,52.23681811341,21.01680278778,0,7043M,1,,,
7079M:P2,Centrum Nauki Kopernik,C13,,52.23976480875,21.031447649,0,7079M,1,,,
7088M:P2,Rondo ONZ,C10,,52.23310243607,20.99828481674,0,7088M,1,,,
7099M:P1,Ratusz Arsenał,A15,,52.24475764742,21.00136935711,0,7099M,1,,,
